年,月,日,時,気温(℃),風速(m/s),風速(m/s),降水量(mm),降水量(mm)
2018,9,17,1,21.7,1.3,南,0,1
2018,9,17,2,21.6,0.2,静穏,0,1
2018,9,17,3,22.2,1.6,北西,0,1
2018,9,17,4,22.6,2.8,北西,0,1
2018,9,17,5,22.4,0.9,西,0,1
2018,9,17,6,22.3,2.2,西北西,0,1
2018,9,17,7,24.4,1.2,西北西,0,1
2018,9,17,8,25.8,2.9,北北西,0,1
2018,9,17,9,27.4,2.2,北北東,0,1
2018,9,17,10,28.2,2.6,北北東,0,1
2018,9,17,11,28.8,2.0,北北東,0,1
2018,9,17,12,29.5,3.1,北東,0,1
2018,9,17,13,30.7,2.8,北東,0,1
2018,9,17,14,29.0,1.3,西北西,0,1
2018,9,17,15,28.6,1.5,南,0,1
2018,9,17,16,28.4,3.4,南南東,0,1
2018,9,17,17,26.7,5.5,南東,0,1
2018,9,17,18,24.1,3.4,南東,2.0,0
2018,9,17,19,22.3,3.9,南南東,20.5,0
2018,9,17,20,21.7,2.9,南東,2.0,0
2018,9,17,21,21.4,1.9,南東,1.0,0
2018,9,17,22,21.5,1.9,南南東,0.5,0
2018,9,17,23,21.3,1.9,南南東,0.0,0
2018,9,17,24,21.3,1.4,東南東,0.0,0
2018,9,18,1,21.4,1.6,南東,0.0,0
2018,9,18,2,21.1,2.1,南南東,0.0,0
2018,9,18,3,21.1,1.3,南南東,0,1
2018,9,18,4,21.0,1.4,南南東,0,1
2018,9,18,5,21.0,2.0,南東,0.0,0
2018,9,18,6,20.6,0.1,静穏,0,1
2018,9,18,7,21.3,1.4,北西,0,1
2018,9,18,8,23.3,0.6,西北西,0,1
2018,9,18,9,24.8,2.5,南,0,1
2018,9,18,10,25.9,3.5,南南東,0,1
2018,9,18,11,26.4,2.2,南東,0,1
2018,9,18,12,26.8,4.6,南南東,0,1
2018,9,18,13,27.0,3.8,南東,0,1
2018,9,18,14,27.3,3.2,南東,0,1
2018,9,18,15,26.8,3.7,東南東,0,1
2018,9,18,16,26.2,3.8,南東,0,1
2018,9,18,17,25.7,4.8,南東,0,1
2018,9,18,18,24.4,5.6,南南東,0.0,0
2018,9,18,19,20.5,3.4,北東,19.5,0
2018,9,18,20,20.8,3.2,東南東,19.5,0
2018,9,18,21,21.7,3.4,南東,0.0,0
2018,9,18,22,21.7,3.0,南東,0.0,0
2018,9,18,23,21.5,2.6,北北西,0.0,0
2018,9,18,24,21.0,3.1,北北東,1.5,0
2018,9,19,1,20.7,3.5,北北東,0.0,0
2018,9,19,2,19.1,3.5,東北東,0.0,0
2018,9,19,3,18.6,2.5,北北東,0,1
2018,9,19,4,18.6,3.4,北東,0,1
2018,9,19,5,18.7,2.8,北東,0,1
2018,9,19,6,18.4,1.7,北北西,0.0,0
2018,9,19,7,19.3,2.0,北北東,0,1
2018,9,19,8,21.0,3.6,北北東,0,1
2018,9,19,9,22.4,2.3,北,0,1
2018,9,19,10,24.3,2.4,北北東,0,1
2018,9,19,11,24.9,3.1,北東,0,1
2018,9,19,12,25.9,2.5,北北西,0,1
2018,9,19,13,26.2,2.2,東南東,0,1
2018,9,19,14,26.9,2.6,東,0,1
2018,9,19,15,26.5,3.9,南,0,1
2018,9,19,16,24.7,2.8,南東,0,1
2018,9,19,17,23.4,4.2,南南東,0,1
2018,9,19,18,23.3,3.6,南東,0,1
2018,9,19,19,23.3,4.6,南東,0,1
2018,9,19,20,22.6,3.5,東,0,1
2018,9,19,21,22.1,2.1,南東,0,1
2018,9,19,22,21.2,2.0,東,0,1
2018,9,19,23,20.9,3.0,南南東,0,1
2018,9,19,24,20.7,2.3,南東,0,1
2018,9,20,1,20.3,0.5,南南西,0,1
2018,9,20,2,21.1,2.0,北北東,0,1
2018,9,20,3,20.5,1.7,東,0,1
2018,9,20,4,21.6,1.8,東南東,0,1
2018,9,20,5,20.6,1.6,北北東,0,1
2018,9,20,6,20.7,1.3,北北西,0.0,0
2018,9,20,7,20.9,1.3,北北東,0,1
2018,9,20,8,21.4,1.8,北北東,0,1
2018,9,20,9,22.2,2.4,北西,0,1
2018,9,20,10,22.2,1.2,北西,0.0,0
2018,9,20,11,22.9,1.0,東北東,0.0,0
2018,9,20,12,23.2,2.0,北北西,0.0,0
2018,9,20,13,23.2,1.7,北北西,0.0,0
2018,9,20,14,20.8,0.8,西,0.0,0
2018,9,20,15,20.2,2.1,北北西,2.0,0
2018,9,20,16,19.9,1.9,北,7.0,0
2018,9,20,17,18.7,2.4,北,15.5,0
2018,9,20,18,18.7,2.6,北,1.5,0
2018,9,20,19,17.6,3.8,北北東,0.5,0
2018,9,20,20,17.1,3.7,北北東,1.0,0
2018,9,20,21,16.9,2.8,北,2.0,0
2018,9,20,22,16.2,3.3,北北西,1.5,0
2018,9,20,23,15.6,3.2,北北西,3.5,0
2018,9,20,24,15.7,3.6,北北西,6.0,0
2018,9,21,1,15.7,4.0,北北西,3.5,0
2018,9,21,2,15.8,3.9,北北西,2.0,0
2018,9,21,3,15.9,3.3,北北西,2.5,0
2018,9,21,4,16.0,2.1,北北西,1.0,0
2018,9,21,5,16.3,2.8,北北西,2.5,0
2018,9,21,6,16.4,3.5,北西,2.5,0
2018,9,21,7,16.7,3.3,北北西,1.5,0
2018,9,21,8,17.0,3.0,北北西,1.0,0
2018,9,21,9,17.2,3.6,北北西,2.5,0
2018,9,21,10,17.4,4.1,北西,2.5,0
2018,9,21,11,17.5,2.9,北北西,1.0,0
2018,9,21,12,18.0,3.6,北西,1.0,0
2018,9,21,13,18.2,3.1,北北西,1.0,0
2018,9,21,14,18.6,3.2,北北西,2.5,0
2018,9,21,15,18.7,4.2,北西,0.5,0
2018,9,21,16,18.7,3.5,北北西,1.0,0
2018,9,21,17,18.7,4.7,北西,1.5,0
2018,9,21,18,18.7,3.3,北西,2.0,0
2018,9,21,19,18.7,4.3,北西,3.0,0
2018,9,21,20,18.7,3.9,北西,0.5,0
2018,9,21,21,18.8,3.5,北西,0.5,0
2018,9,21,22,18.8,4.3,北西,0.0,0
2018,9,21,23,18.9,3.0,北西,0,1
2018,9,21,24,18.9,1.8,北北西,0,1
2018,9,22,1,18.7,1.6,西北西,0,1
2018,9,22,2,18.9,0.4,西北西,0,1
2018,9,22,3,19.0,0.6,南西,0,1
2018,9,22,4,19.1,1.6,南南東,0,1
2018,9,22,5,19.2,1.2,北西,0,1
2018,9,22,6,19.3,0.2,静穏,0,1
2018,9,22,7,19.6,0.8,南東,0.0,0
2018,9,22,8,20.2,0.6,北北西,0.0,0
2018,9,22,9,20.7,1.2,西北西,0.0,0
2018,9,22,10,20.6,2.5,北西,0.0,0
2018,9,22,11,20.4,2.5,北北西,0.0,0
2018,9,22,12,21.7,2.8,北西,0.0,0
2018,9,22,13,23.3,2.0,北北西,0,1
2018,9,22,14,25.1,2.1,北西,0,1
2018,9,22,15,25.1,1.0,南,0.0,0
2018,9,22,16,24.9,1.3,東南東,0,1
2018,9,22,17,24.8,1.3,北,0,1
